blast_id,mine_id,zone_id,scheduled_time,actual_time,delay_hours,blast_status,powder_factor_kg_t,material_type
BLAST-30178,MINE-04,MINE-04-ZONE-D,2026-04-27T10:00:00Z,2026-04-27T10:30:00Z,0.0,COMPLETED,0.59,Overburden
BLAST-30179,MINE-03,MINE-03-ZONE-B,2026-07-18T10:00:00Z,2026-07-18T11:30:00Z,1.5,COMPLETED,0.53,Overburden
BLAST-30180,MINE-03,MINE-03-ZONE-C,2025-09-29T10:00:00Z,2025-09-29T13:30:00Z,3.0,DELAYED,0.56,Waste Rock
BLAST-30181,MINE-03,MINE-03-ZONE-A,2026-07-15T10:00:00Z,2026-07-15T10:30:00Z,0.0,COMPLETED,0.59,Manganese Ore
BLAST-30182,MINE-03,MINE-03-ZONE-E,2026-02-20T10:00:00Z,2026-02-20T11:30:00Z,1.5,COMPLETED,0.74,Manganese Ore
BLAST-30183,MINE-03,MINE-03-ZONE-C,2026-05-02T10:00:00Z,2026-05-02T10:30:00Z,0.5,COMPLETED,0.43,Overburden
BLAST-30184,MINE-04,MINE-04-ZONE-B,2026-06-17T10:00:00Z,2026-06-17T10:30:00Z,0.5,COMPLETED,0.56,Overburden
BLAST-30185,MINE-04,MINE-04-ZONE-B,2026-07-22T10:00:00Z,2026-07-22T14:30:00Z,4.5,DELAYED,0.62,Waste Rock
BLAST-30186,MINE-03,MINE-03-ZONE-B,2026-05-10T10:00:00Z,2026-05-10T10:30:00Z,0.0,COMPLETED,0.45,Waste Rock
BLAST-30187,MINE-04,MINE-04-ZONE-E,2026-06-22T10:00:00Z,2026-06-22T10:30:00Z,0.5,COMPLETED,0.73,Overburden
BLAST-30188,MINE-04,MINE-04-ZONE-E,2026-04-08T10:00:00Z,2026-04-08T10:30:00Z,0.0,COMPLETED,0.72,Manganese Ore
BLAST-30189,MINE-04,MINE-04-ZONE-D,2026-03-03T10:00:00Z,2026-03-03T10:30:00Z,0.0,COMPLETED,0.49,Overburden
BLAST-30190,MINE-04,MINE-04-ZONE-A,2026-05-23T10:00:00Z,2026-05-23T11:30:00Z,1.5,COMPLETED,0.46,Overburden
BLAST-30191,MINE-02,MINE-02-ZONE-A,2025-10-31T10:00:00Z,2025-10-31T10:30:00Z,0.0,COMPLETED,0.44,Overburden
BLAST-30192,MINE-04,MINE-04-ZONE-B,2026-05-12T10:00:00Z,2026-05-12T11:30:00Z,1.5,COMPLETED,0.5,Manganese Ore
BLAST-30193,MINE-04,MINE-04-ZONE-E,2025-11-01T10:00:00Z,2025-11-01T13:30:00Z,3.0,DELAYED,0.65,Waste Rock
BLAST-30194,MINE-04,MINE-04-ZONE-A,2026-03-10T10:00:00Z,2026-03-10T10:30:00Z,0.5,COMPLETED,0.55,Waste Rock
BLAST-30195,MINE-04,MINE-04-ZONE-C,2026-01-12T10:00:00Z,2026-01-12T10:30:00Z,0.0,COMPLETED,0.64,Waste Rock
BLAST-30196,MINE-01,MINE-01-ZONE-B,2026-08-14T10:00:00Z,2026-08-14T10:30:00Z,0.0,COMPLETED,0.72,Overburden
BLAST-30197,MINE-04,MINE-04-ZONE-D,2025-09-27T10:00:00Z,2025-09-27T10:30:00Z,0.5,COMPLETED,0.46,Waste Rock
BLAST-30198,MINE-01,MINE-01-ZONE-D,2026-05-03T10:00:00Z,2026-05-03T10:30:00Z,0.0,COMPLETED,0.5,Waste Rock
BLAST-30199,MINE-03,MINE-03-ZONE-B,2026-02-13T10:00:00Z,2026-02-13T10:30:00Z,0.0,COMPLETED,0.48,Waste Rock
BLAST-30200,MINE-01,MINE-01-ZONE-C,2026-07-10T10:00:00Z,2026-07-10T10:30:00Z,0.0,COMPLETED,0.46,Manganese Ore
BLAST-30201,MINE-02,MINE-02-ZONE-E,2026-04-18T10:00:00Z,2026-04-18T10:30:00Z,0.0,COMPLETED,0.69,Waste Rock
BLAST-30202,MINE-04,MINE-04-ZONE-A,2025-11-12T10:00:00Z,2025-11-12T10:30:00Z,0.0,COMPLETED,0.43,Manganese Ore
BLAST-30203,MINE-02,MINE-02-ZONE-C,2025-10-19T10:00:00Z,2025-10-19T11:30:00Z,1.5,COMPLETED,0.48,Manganese Ore
BLAST-30204,MINE-03,MINE-03-ZONE-B,2025-12-29T10:00:00Z,2025-12-29T14:30:00Z,4.5,DELAYED,0.5,Overburden
BLAST-30205,MINE-03,MINE-03-ZONE-A,2026-07-17T10:00:00Z,2026-07-17T14:30:00Z,4.5,DELAYED,0.57,Waste Rock
BLAST-30206,MINE-03,MINE-03-ZONE-C,2025-12-10T10:00:00Z,2025-12-10T13:30:00Z,3.0,DELAYED,0.42,Waste Rock
BLAST-30207,MINE-01,MINE-01-ZONE-D,2026-07-22T10:00:00Z,2026-07-22T11:30:00Z,1.5,COMPLETED,0.72,Waste Rock
BLAST-30208,MINE-04,MINE-04-ZONE-A,2026-07-04T10:00:00Z,2026-07-04T11:30:00Z,1.5,COMPLETED,0.66,Overburden
BLAST-30209,MINE-04,MINE-04-ZONE-A,2026-06-06T10:00:00Z,2026-06-06T14:30:00Z,4.5,DELAYED,0.69,Manganese Ore
BLAST-30210,MINE-04,MINE-04-ZONE-A,2025-12-27T10:00:00Z,2025-12-27T11:30:00Z,1.5,COMPLETED,0.69,Overburden
BLAST-30211,MINE-02,MINE-02-ZONE-C,2025-10-15T10:00:00Z,2025-10-15T13:30:00Z,3.0,DELAYED,0.72,Overburden
BLAST-30212,MINE-02,MINE-02-ZONE-C,2026-07-15T10:00:00Z,2026-07-15T14:30:00Z,4.5,DELAYED,0.68,Waste Rock
BLAST-30213,MINE-02,MINE-02-ZONE-C,2026-05-02T10:00:00Z,2026-05-02T11:30:00Z,1.5,COMPLETED,0.51,Waste Rock
BLAST-30214,MINE-04,MINE-04-ZONE-A,2026-08-23T10:00:00Z,2026-08-23T13:30:00Z,3.0,DELAYED,0.75,Waste Rock
BLAST-30215,MINE-03,MINE-03-ZONE-A,2026-03-11T10:00:00Z,2026-03-11T10:30:00Z,0.0,COMPLETED,0.67,Manganese Ore
BLAST-30216,MINE-02,MINE-02-ZONE-E,2026-02-10T10:00:00Z,2026-02-10T10:30:00Z,0.5,COMPLETED,0.61,Overburden
BLAST-30217,MINE-01,MINE-01-ZONE-E,2026-07-25T10:00:00Z,2026-07-25T11:30:00Z,1.5,COMPLETED,0.41,Waste Rock
BLAST-30218,MINE-01,MINE-01-ZONE-A,2026-09-07T10:00:00Z,2026-09-07T10:30:00Z,0.0,COMPLETED,0.36,Overburden
BLAST-30219,MINE-04,MINE-04-ZONE-E,2026-01-17T10:00:00Z,2026-01-17T14:30:00Z,4.5,DELAYED,0.42,Manganese Ore
BLAST-30220,MINE-03,MINE-03-ZONE-C,2026-03-22T10:00:00Z,2026-03-22T10:30:00Z,0.0,COMPLETED,0.53,Manganese Ore
